,Make,N.Fatal.Crashes,N.Non.Fatal.Crashes,Total.Crashes,ratio.fatal.to.tot
156,Avions Robin,3,0,3,1.0
157,Aerovodochody,3,0,3,1.0
158,Zivko Aeronautics Inc,3,0,3,1.0
159,Pacific Aerospace Corp Ltd,3,0,3,1.0
160,Varga,2,0,2,1.0
161,Stearman,2,0,2,1.0
162,Found Acft Canada Inc,2,0,2,1.0
163,American Champion,2,0,2,1.0
164,Iai,2,0,2,1.0
165,Eagle Aircraft Co.,2,0,2,1.0
166,Grob-Werke,2,0,2,1.0
167,Vans Aircraft Inc,2,0,2,1.0
168,Fpna Llc,2,0,2,1.0
169,North American/Aero Classics,2,0,2,1.0
170,737,2,0,2,1.0
171,L-Bird Llc,2,0,2,1.0
172,Neiva,2,0,2,1.0
173,Ayres Thrush,2,0,2,1.0
174,Let,2,0,2,1.0
175,Glasair,2,0,2,1.0
176,Bae Systems,2,0,2,1.0
177,Liberty Aerospace,2,0,2,1.0
178,Gippsland,2,0,2,1.0
179,Gates Lear Jet Corp.,1,1,2,0.5
180,Aerospatiale,1,1,2,0.5
181,Honda Aircraft,1,1,2,0.5
182,Honda Aircraft Co Llc,1,1,2,0.5
183,Ercoupe (Eng & Research Corp.),2,0,2,1.0
184,Zlin,2,0,2,1.0
185,"Smith, Ted Aerostar",2,0,2,1.0
186,Fantasy Air,2,0,2,1.0
187,Icon Aircraft Inc,2,0,2,1.0
188,American Legend,2,0,2,1.0
189,Construcciones Aeronauticas Sa,2,0,2,1.0
190,Embraer S.A.,2,0,2,1.0
191,Curtiss-Wright,2,0,2,1.0
192,"Thrush Aircraft, Inc.",2,0,2,1.0
193,Moravan,2,0,2,1.0
194,Ted Smith,2,0,2,1.0
195,Quickie,2,0,2,1.0
196,Johnson,2,0,2,1.0
197,"Wolseley Motors, Inc.",2,0,2,1.0
198,Airplane Factory (Pty) Ltd,2,0,2,1.0
199,Edge,2,0,2,1.0
200,Czech Sport,2,0,2,1.0
201,Dornier Gmbh,2,0,2,1.0
202,Extra Flugzeugbau Gmbh,2,0,2,1.0
203,Monocoupe,2,0,2,1.0
204,Remos Acft Gmbh Flugzeugbau,2,0,2,1.0
205,Jackson,2,0,2,1.0
206,Daher,2,0,2,1.0
207,Mx Aircraft Llc,2,0,2,1.0
208,Commander,2,0,2,1.0
209,Republic,2,0,2,1.0
210,Czech Aircraft Works,2,0,2,1.0
211,Lyons,1,0,1,1.0
212,Costruzioni Aeronautiche,1,0,1,1.0
213,Morane-Saulnier,1,0,1,1.0
214,Cosmos,1,0,1,1.0
215,Aero Sp Z O O (Gobosh),1,0,1,1.0
216,Evektor Aerotechnik As,1,0,1,1.0
217,Wsl Pzl,1,0,1,1.0
218,Raytheon Company,1,0,1,1.0
