,Make,N.Fatal.Crashes,N.Non.Fatal.Crashes,Total.Crashes,ratio.fatal.to.tot
667,Iniziative,1,0,1,1.0
668,Mileski,1,0,1,1.0
669,Fisher Flying Products,1,0,1,1.0
670,Pitts Aerobatics,1,0,1,1.0
671,Mitchell,1,0,1,1.0
672,Dickson,1,0,1,1.0
673,Farace Thomas Scott,1,0,1,1.0
674,Martin,1,0,1,1.0
675,Rand,1,0,1,1.0
676,Epig,1,0,1,1.0
677,Elmwood,1,0,1,1.0
678,Jm Kemp,1,0,1,1.0
679,S.A.N.,1,0,1,1.0
680,Lockwood,1,0,1,1.0
681,Kolb,1,0,1,1.0
682,Howard Steven C,1,0,1,1.0
683,Skybolt,1,0,1,1.0
684,Quartz Mountain Aerospace,1,0,1,1.0
685,Oliver Lawrence R,1,0,1,1.0
686,Embraer Sa,1,0,1,1.0
687,Short,1,0,1,1.0
688,Blackshape,1,0,1,1.0
689,Believer,1,0,1,1.0
690,Cassult Racer,1,0,1,1.0
691,Mxr Technologies Inc,1,0,1,1.0
692,United Consultants,1,0,1,1.0
693,Bell,1,0,1,1.0
694,Eclipse Aerospace Inc,1,0,1,1.0
695,Challenger,1,0,1,1.0
696,Wagaero,1,0,1,1.0
697,Meriwether Jon,1,0,1,1.0
698,Evektor,1,0,1,1.0
699,Tandem,1,0,1,1.0
700,Conway Philip J,1,0,1,1.0
701,Christen Industries,1,0,1,1.0
702,C M Stuhrenberg/P C Polete,1,0,1,1.0
703,Monnett,1,0,1,1.0
704,Eads Socata,1,0,1,1.0
705,C A S A,1,0,1,1.0
706,Vulcanair,1,0,1,1.0
707,Mxr Technologies,1,0,1,1.0
708,Sharp Ralph R,1,0,1,1.0
709,Waco Classic Aircraft Corp,1,0,1,1.0
710,Gordon Scot A,1,0,1,1.0
711,Vashon Aircraft,1,0,1,1.0
712,Wag-A-Bond Traveller,1,0,1,1.0
713,M7 Aerospace,1,0,1,1.0
714,Gates Learjet Corp,1,0,1,1.0
715,Velocity,1,0,1,1.0
716,Rivers Lindsey Lee,1,0,1,1.0
717,Aermacchi,1,0,1,1.0
718,Amd,1,0,1,1.0
719,Sachse Stephan,1,0,1,1.0
720,Fritz Neumeyer,1,0,1,1.0
721,Bryan C L/Labrash R D,1,0,1,1.0
722,Scheineman-Van Buren,1,0,1,1.0
723,Bereznak,1,0,1,1.0
724,Fairchild Funk,1,0,1,1.0
725,Bordiuk,1,0,1,1.0
726,Brown Joseph,1,0,1,1.0
727,Globe,1,0,1,1.0
728,Brm Aero,1,0,1,1.0
729,Bkf,1,0,1,1.0
730,Airplane Factory,1,0,1,1.0
731,Sorrell,1,0,1,1.0
732,Halladay Roy,1,0,1,1.0
733,Ostertag Walter G,1,0,1,1.0
734,Lavia Argentina S.A.,1,0,1,1.0
735,Whittman,1,0,1,1.0
736,Gippsaero Pty Ltd,1,0,1,1.0
737,Paradise Aircraft Usa Llc,1,0,1,1.0
738,Aeropro Cz S R O,1,0,1,1.0
739,Gulfstream Am Corp Comm Div,1,0,1,1.0
740,Wells Elgin M,1,0,1,1.0
741,Beagle,1,0,1,1.0
742,New Kolb Aircraft Co Llc,1,0,1,1.0
743,American Eurocopter,1,0,1,1.0
744,Wag Aero,1,0,1,1.0
745,Cavalier,1,0,1,1.0
746,Hall Terrence / Hall Cathie,1,0,1,1.0
747,Cruiser,1,0,1,1.0
748,Universal Stinson,1,0,1,1.0
749,Joby Aero Inc,1,0,1,1.0
750,Embraer Executive Aircraft Inc,1,0,1,1.0
751,S D Martin,1,0,1,1.0
752,Stephen J Hoffman,0,1,1,0.0
